cidade_origem,uf_origem,cidade_destino,uf_destino,CARRO,CAMIONETE,MOTO,VAN
ARACAJU,SE,BELEM,PA,1400,1500,700,4200
ARACAJU,SE,BRASILIA,DF,850,950,450,2550
ARACAJU,SE,FORTALEZA,CE,700,750,350,2100
ARACAJU,SE,GOIANIA,GO,1000,1100,550,3000
ARACAJU,SE,JOAO PESSOA,PB,450,500,250,1350
ARACAJU,SE,MACEIO,AL,450,500,250,1350
ARACAJU,SE,NATAL,RN,700,750,350,2100
ARACAJU,SE,RECIFE,PE,450,500,250,1350
ARACAJU,SE,SALVADOR,BA,450,500,250,1350
ARACAJU,SE,SAO LUIS,MA,1400,1500,700,4200
ARACAJU,SE,SAO PAULO,SP,650,700,350,1950
ARACAJU,SE,TERESINA,PI,1400,1500,700,4200
BELEM,PA,ARACAJU,SE,1350,1450,700,4050
BELEM,PA,CURITIBA,PR,600,650,350,1800
BELEM,PA,FORTALEZA,CE,700,800,400,2100
BELEM,PA,GOIANIA,GO,450,500,250,1350
BELEM,PA,JOAO PESSOA,PB,900,1000,500,2700
BELEM,PA,MACAPA,AP,750,850,450,2250
BELEM,PA,MACEIO,AL,1350,1450,700,4050
BELEM,PA,MANAUS,AM,750,850,500,2250
BELEM,PA,NATAL,RN,1350,1450,700,4050
BELEM,PA,RECIFE,PE,900,1000,500,2700
BELEM,PA,SALVADOR,BA,700,800,400,2100
BELEM,PA,SAO LUIS,MA,550,650,350,1650
BELEM,PA,SAO PAULO,SP,550,600,350,1650
BELEM,PA,TERESINA,PI,600,700,350,1800
BELO HORIZONTE,MG,BRASILIA,DF,850,980,550,2550
BELO HORIZONTE,MG,GOIANIA,GO,850,950,550,2550
BELO HORIZONTE,MG,SAO PAULO,SP,300,350,250,900
BELO HORIZONTE,MG,VITORIA,ES,400,500,250,1200
BOA VISTA,RR,MANAUS,AM,650,750,400,1950
BRASILIA,DF,ARACAJU,SE,900,1100,600,2700
BRASILIA,DF,FORTALEZA,CE,1000,1100,600,3000
BRASILIA,DF,GOIANIA,GO,300,400,250,900
BRASILIA,DF,JOAO PESSOA,PB,900,1100,600,2700
BRASILIA,DF,MACEIO,AL,900,1100,600,2700
BRASILIA,DF,NATAL,RN,900,1100,600,2700
BRASILIA,DF,RECIFE,PE,900,1100,600,2700
BRASILIA,DF,SALVADOR,BA,650,700,350,1950
BRASILIA,DF,TERESINA,PI,900,1100,600,2700
CAMPO GRANDE,MS,BRASILIA,DF,900,1000,450,2700
CAMPO GRANDE,MS,CURITIBA,PR,400,450,250,1200
CAMPO GRANDE,MS,GOIANIA,GO,700,800,400,2100
CAMPO GRANDE,MS,SAO PAULO,SP,350,400,250,1050
CUIABA,MT,BELO HORIZONTE,MG,650,750,400,1950
CUIABA,MT,CURITIBA,PR,500,550,350,1500
CUIABA,MT,GOIANIA,GO,650,750,400,1950
CUIABA,MT,RIO BRANCO,AC,1200,1300,700,3600
CUIABA,MT,SAO PAULO,SP,450,550,300,1350
CURITIBA,PR,FLORIANOPOLIS,SC,250,300,200,750
CURITIBA,PR,PORTO ALEGRE,RS,300,350,200,900
CURITIBA,PR,SAO PAULO,SP,200,300,150,600
FLORIANOPOLIS,SC,PORTO ALEGRE,RS,200,250,150,600
FLORIANOPOLIS,SC,SAO PAULO,SP,300,350,200,900
FORTALEZA,CE,ARACAJU,SE,600,700,350,1800
FORTALEZA,CE,BELEM,PA,700,800,350,2100
FORTALEZA,CE,BRASILIA,DF,850,950,400,2550
FORTALEZA,CE,GOIANIA,GO,1000,1100,500,3000
FORTALEZA,CE,JOAO PESSOA,PB,600,700,350,1800
FORTALEZA,CE,MACEIO,AL,600,700,350,1800
FORTALEZA,CE,NATAL,RN,600,700,350,1800
FORTALEZA,CE,RECIFE,PE,600,700,350,1800
FORTALEZA,CE,SALVADOR,BA,600,700,350,1800
FORTALEZA,CE,SAO LUIS,MA,700,800,350,2100
FORTALEZA,CE,SAO PAULO,SP,700,800,350,2100
FORTALEZA,CE,TERESINA,PI,600,700,350,1800
GOIANIA,GO,ARACAJU,SE,1000,1100,600,3000
GOIANIA,GO,BELO HORIZONTE,MG,350,400,200,1050
GOIANIA,GO,BRASILIA,DF,300,400,250,900
GOIANIA,GO,CAMPO GRANDE,MS,650,750,300,1950
GOIANIA,GO,CUIABA,MT,600,650,350,1800
GOIANIA,GO,CURITIBA,PR,400,450,250,1200
GOIANIA,GO,FORTALEZA,CE,1000,1100,600,3000
GOIANIA,GO,JOAO PESSOA,PB,1000,1100,600,3000
GOIANIA,GO,MACEIO,AL,1000,1100,550,3000
GOIANIA,GO,NATAL,RN,1000,1100,600,3000
GOIANIA,GO,PORTO VELHO,RO,1000,1100,550,3000
GOIANIA,GO,RECIFE,PE,1000,1100,600,3000
GOIANIA,GO,RIO BRANCO,AC,1300,1400,750,3900
GOIANIA,GO,SAO PAULO,SP,350,450,250,1050
GOIANIA,GO,TERESINA,PI,1000,1100,600,3000
JOAO PESSOA,PB,ARACAJU,SE,450,550,250,1350
JOAO PESSOA,PB,BELEM,PA,900,1000,550,2700
JOAO PESSOA,PB,BRASILIA,DF,850,950,450,2550
JOAO PESSOA,PB,FORTALEZA,CE,700,800,350,2100
JOAO PESSOA,PB,GOIANIA,GO,1000,1100,500,3000
JOAO PESSOA,PB,MACEIO,AL,450,550,250,1350
JOAO PESSOA,PB,NATAL,RN,700,800,350,2100
JOAO PESSOA,PB,RECIFE,PE,450,550,250,1350
JOAO PESSOA,PB,SALVADOR,BA,450,550,250,1350
JOAO PESSOA,PB,SAO LUIS,MA,1400,1500,700,4200
JOAO PESSOA,PB,SAO PAULO,SP,650,750,350,1950
JOAO PESSOA,PB,TERESINA,PI,1400,1500,700,4200
MACAPA,AP,BELEM,PA,650,750,400,1950
MACAPA,AP,BELO HORIZONTE,MG,850,950,600,2550
MACAPA,AP,CURITIBA,PR,900,1000,600,2700
MACAPA,AP,GOIANIA,GO,700,800,400,2100
MACAPA,AP,SAO PAULO,SP,850,950,600,2550
MACEIO,AL,ARACAJU,SE,450,550,250,1350
MACEIO,AL,BELEM,PA,1400,1500,700,4200
MACEIO,AL,BRASILIA,DF,850,950,450,2550
MACEIO,AL,FORTALEZA,CE,700,800,350,2100
MACEIO,AL,GOIANIA,GO,1000,1100,500,3000
MACEIO,AL,JOAO PESSOA,PB,450,550,250,1350
MACEIO,AL,NATAL,RN,700,800,350,2100
MACEIO,AL,RECIFE,PE,450,550,250,1350
MACEIO,AL,SALVADOR,BA,450,550,250,1350
MACEIO,AL,SAO LUIS,MA,1400,1500,700,4200
MACEIO,AL,SAO PAULO,SP,650,700,350,1950
MACEIO,AL,TERESINA,PI,1400,1500,700,4200
MANAUS,AM,BELEM,PA,650,750,400,1950
MANAUS,AM,BOA VISTA,RR,600,700,250,1800
MANAUS,AM,PORTO VELHO,RO,750,800,550,2250
NATAL,RN,ARACAJU,SE,600,700,350,1800
NATAL,RN,BELEM,PA,1400,1500,700,4200
NATAL,RN,BRASILIA,DF,850,950,450,2550
NATAL,RN,FORTALEZA,CE,600,700,350,1800
NATAL,RN,GOIANIA,GO,1000,1100,500,3000
NATAL,RN,JOAO PESSOA,PB,600,700,350,1800
NATAL,RN,MACEIO,AL,600,700,350,1800
NATAL,RN,RECIFE,PE,600,700,350,1800
NATAL,RN,SALVADOR,BA,600,700,350,1800
NATAL,RN,SAO LUIS,MA,600,700,350,1800
NATAL,RN,SAO PAULO,SP,700,750,450,2100
NATAL,RN,TERESINA,PI,600,700,350,1800
PALMAS,TO,PARAISO,TO,350,400,350,1050
PORTO ALEGRE,RS,CURITIBA,PR,250,300,200,750
PORTO ALEGRE,RS,FLORIANOPOLIS,SC,200,250,150,600
PORTO ALEGRE,RS,SAO PAULO,SP,300,350,200,900
PORTO VELHO,RO,CAMPO GRANDE,MS,1750,1850,1000,5250
PORTO VELHO,RO,CURITIBA,PR,750,850,500,2250
PORTO VELHO,RO,GOIANIA,GO,1300,1400,800,3900
PORTO VELHO,RO,MANAUS,AM,1200,1300,1200,3600
PORTO VELHO,RO,RIO BRANCO,AC,350,450,200,1050
PORTO VELHO,RO,SAO PAULO,SP,750,850,400,2250
RECIFE,PE,ARACAJU,SE,450,550,250,1350
RECIFE,PE,BELEM,PA,900,1000,500,2700
RECIFE,PE,BRASILIA,DF,850,950,450,2550
RECIFE,PE,FORTALEZA,CE,700,800,350,2100
RECIFE,PE,GOIANIA,GO,1000,1100,500,3000
RECIFE,PE,JOAO PESSOA,PB,450,550,250,1350
RECIFE,PE,MACEIO,AL,450,550,250,1350
RECIFE,PE,NATAL,RN,700,800,350,2100
RECIFE,PE,SALVADOR,BA,450,550,250,1350
RECIFE,PE,SAO LUIS,MA,900,1000,450,2700
RECIFE,PE,SAO PAULO,SP,650,700,350,1950
RECIFE,PE,TERESINA,PI,900,1000,450,2700
RIO BRANCO,AC,BELO HORIZONTE,MG,750,850,500,2250
RIO BRANCO,AC,CUIABA,MT,650,750,350,1950
RIO BRANCO,AC,CURITIBA,PR,950,1000,450,2850
RIO BRANCO,AC,CURITIBA,PR,950,1050,600,2850
RIO BRANCO,AC,GOIANIA,GO,1300,1400,800,3900
RIO BRANCO,AC,PORTO VELHO,RO,450,500,350,1350
RIO BRANCO,AC,SAO PAULO,SP,750,850,400,2250
RIO DE JANEIRO,RJ,SALVADOR,BA,850,900,450,2550
RIO DE JANEIRO,RJ,SAO PAULO,SP,300,350,250,900
RIO DE JANEIRO,RJ,VITORIA,ES,450,550,250,1350
SALVADOR,BA,ARACAJU,SE,450,550,250,1350
SALVADOR,BA,BELEM,PA,900,1000,600,2700
SALVADOR,BA,BELO HORIZONTE,MG,500,550,350,1500
SALVADOR,BA,BRASILIA,DF,650,700,350,1950
SALVADOR,BA,FORTALEZA,CE,700,800,350,2100
SALVADOR,BA,JOAO PESSOA,PB,450,550,250,1350
SALVADOR,BA,MACEIO,AL,450,550,250,1350
SALVADOR,BA,NATAL,RN,700,800,450,2100
SALVADOR,BA,RECIFE,PE,450,550,250,1350
SALVADOR,BA,RIO DE JANEIRO,RJ,650,700,350,1950
SALVADOR,BA,SAO LUIS,MA,1450,1550,700,4350
SALVADOR,BA,SAO PAULO,SP,500,550,350,1500
SALVADOR,BA,TERESINA,PI,1450,1550,700,4350
SALVADOR,BA,VITORIA,ES,500,600,350,1500
SAO LUIS,MA,ARACAJU,SE,1350,1450,700,4050
SAO LUIS,MA,CURITIBA,PR,650,750,350,1950
SAO LUIS,MA,FORTALEZA,CE,700,800,400,2100
SAO LUIS,MA,GOIANIA,GO,450,500,250,1350
SAO LUIS,MA,JOAO PESSOA,PB,900,1000,500,2700
SAO LUIS,MA,MACEIO,AL,1350,1450,700,4050
SAO LUIS,MA,NATAL,RN,1350,1450,700,4050
SAO LUIS,MA,RECIFE,PE,900,1000,500,2700
SAO LUIS,MA,SALVADOR,BA,1350,1450,700,4050
SAO LUIS,MA,SAO PAULO,SP,650,750,350,1950
SAO LUIS,MA,TERESINA,PI,600,700,350,1800
SAO PAULO,SP,ARACAJU,SE,1200,1300,550,3600
SAO PAULO,SP,BELEM,PA,1300,1500,750,3900
SAO PAULO,SP,BELO HORIZONTE,MG,300,350,200,900
SAO PAULO,SP,BRASILIA,DF,550,650,350,1650
SAO PAULO,SP,CAMPO GRANDE,MS,850,950,400,2550
SAO PAULO,SP,CUIABA,MT,1000,1100,550,3000
SAO PAULO,SP,CURITIBA,PR,200,250,150,600
SAO PAULO,SP,FLORIANOPOLIS,SC,250,300,200,750
SAO PAULO,SP,FORTALEZA,CE,1200,1300,550,3600
SAO PAULO,SP,GOIANIA,GO,550,650,350,1650
SAO PAULO,SP,JOAO PESSOA,PB,1100,1200,550,3300
SAO PAULO,SP,MACEIO,AL,1050,1150,550,3150
SAO PAULO,SP,NATAL,RN,1150,1250,550,3450
SAO PAULO,SP,PORTO ALEGRE,RS,300,350,200,900
SAO PAULO,SP,PORTO VELHO,RO,1500,1600,750,4500
SAO PAULO,SP,RECIFE,PE,1050,1150,550,3150
SAO PAULO,SP,RIO BRANCO,AC,1800,1900,900,5400
SAO PAULO,SP,RIO DE JANEIRO,RJ,300,350,200,900
SAO PAULO,SP,SALVADOR,BA,700,800,400,2100
SAO PAULO,SP,SAO LUIS,MA,1300,1400,650,3900
SAO PAULO,SP,TERESINA,PI,1150,1250,550,3450
SAO PAULO,SP,VITORIA,ES,550,600,300,1650
TERESINA,PI,ARACAJU,SE,1250,1350,650,3750
TERESINA,PI,BELEM,PA,600,650,350,1800
TERESINA,PI,BRASILIA,DF,850,900,450,2550
TERESINA,PI,FORTALEZA,CE,900,950,450,2700
TERESINA,PI,GOIANIA,GO,1200,1300,750,3600
TERESINA,PI,JOAO PESSOA,PB,850,950,450,2550
TERESINA,PI,MACEIO,AL,1050,1150,550,3150
TERESINA,PI,NATAL,RN,1250,1350,650,3750
TERESINA,PI,RECIFE,PE,850,950,450,2550
TERESINA,PI,SALVADOR,BA,650,750,350,1950
TERESINA,PI,SAO LUIS,MA,450,550,300,1350
TERESINA,PI,SAO PAULO,SP,700,750,350,2100
VITORIA,ES,RIO DE JANEIRO,RJ,450,500,250,1350
VITORIA,ES,SALVADOR,BA,850,900,450,2550
VITORIA,ES,SAO PAULO,SP,550,600,350,1650
